target_type,target,horizon,pc_count,model,nobs,r2,adj_r2,alpha,l1_ratio
raw_sector_return,Financials,1,10,Ridge,95,0.015640624662790592,-0.10154501525830573,1000.0,
raw_sector_return,Financials,1,10,Lasso,95,0.0,-0.11904761904761907,1.0,
raw_sector_return,Financials,1,10,ElasticNet,95,0.0,-0.11904761904761907,1.0,0.1
raw_sector_return,Industrials,1,10,OLS,95,0.09278802256358909,-0.01521340332169796,,
raw_sector_return,Industrials,1,10,Ridge,95,0.016029346799406152,-0.10111001667685504,1000.0,
raw_sector_return,Industrials,1,10,Lasso,95,0.0,-0.11904761904761907,1.0,
raw_sector_return,Industrials,1,10,ElasticNet,95,0.0,-0.11904761904761907,1.0,0.1
raw_sector_return,Technology,1,10,OLS,95,0.1286118436057727,0.024875158320745605,,
raw_sector_return,Technology,1,10,Ridge,95,0.01727255951066753,-0.09971880245234832,1000.0,
raw_sector_return,Technology,1,10,Lasso,95,0.0,-0.11904761904761907,1.0,
raw_sector_return,Technology,1,10,ElasticNet,95,0.0,-0.11904761904761907,0.03162277660168379,0.5
raw_sector_return,Consumer Staples,1,10,OLS,95,0.06605084088868596,-0.04513358281504187,,
raw_sector_return,Consumer Staples,1,10,Ridge,95,0.008237384748663867,-0.10982959325744757,1000.0,
raw_sector_return,Consumer Staples,1,10,Lasso,95,0.0,-0.11904761904761907,0.01,
raw_sector_return,Consumer Staples,1,10,ElasticNet,95,0.0,-0.11904761904761907,0.1,0.1
raw_sector_return,Real Estate,1,10,OLS,95,0.06248005085127428,-0.04912946690452635,,
raw_sector_return,Real Estate,1,10,Ridge,95,0.007358102334907746,-0.11081355214903188,1000.0,
raw_sector_return,Real Estate,1,10,Lasso,95,0.0,-0.11904761904761907,1.0,
raw_sector_return,Real Estate,1,10,ElasticNet,95,0.0,-0.11904761904761907,1.0,0.1
raw_sector_return,Utilities,1,10,OLS,95,0.03390331948119707,-0.08110819010437464,,
raw_sector_return,Utilities,1,10,Ridge,95,0.004935692642733414,-0.1135243439474174,1000.0,
raw_sector_return,Utilities,1,10,Lasso,95,0.0,-0.11904761904761907,1.0,
raw_sector_return,Utilities,1,10,ElasticNet,95,0.0,-0.11904761904761907,1.0,0.1
raw_sector_return,Health Care,1,10,OLS,95,0.0341916668110539,-0.08078551571143966,,
raw_sector_return,Health Care,1,10,Ridge,95,0.005783561505978918,-0.11257553831473799,1000.0,
raw_sector_return,Health Care,1,10,Lasso,95,0.0,-0.11904761904761907,0.01467799267622069,
raw_sector_return,Health Care,1,10,ElasticNet,95,0.0,-0.11904761904761907,0.046415888336127774,0.3
raw_sector_return,Consumer Discretionary,1,10,OLS,95,0.08807898078190823,-0.020483045315483617,,
raw_sector_return,Consumer Discretionary,1,10,Ridge,95,0.014917215769664649,-0.10235454425775625,1000.0,
raw_sector_return,Consumer Discretionary,1,10,Lasso,95,0.0,-0.11904761904761907,1.0,
raw_sector_return,Consumer Discretionary,1,10,ElasticNet,95,0.0,-0.11904761904761907,1.0,0.1
raw_sector_return,Materials,1,13,OLS,95,0.10603663809666208,-0.037438963196466224,,
raw_sector_return,Materials,1,13,Ridge,95,0.01779215831394465,-0.13984613726529882,1000.0,
raw_sector_return,Materials,1,13,Lasso,95,0.0,-0.16049382716049387,1.0,
raw_sector_return,Materials,1,13,ElasticNet,95,0.0,-0.16049382716049387,1.0,0.1
