target_type,horizon,pc_count,model,mean_adj_r2,median_adj_r2,max_adj_r2
raw_sector_return,1,5,ElasticNet,-0.0547247120118957,-0.05617977528089879,-0.040174079321864786
raw_sector_return,1,5,Lasso,-0.05460843972450391,-0.05617977528089879,-0.03889508416055509
raw_sector_return,1,5,OLS,-0.019599224272867977,-0.007082589266768968,0.004103925147635579
raw_sector_return,1,5,Ridge,-0.050313270213125524,-0.04939959025699259,-0.04693102301508967
raw_sector_return,1,10,ElasticNet,-0.10842701505226714,-0.11904761904761907,-0.036110470346625734
raw_sector_return,1,10,Lasso,-0.10871166266218468,-0.11904761904761907,-0.04071407727087473
raw_sector_return,1,10,OLS,-0.027971820914012017,-0.022493476192178896,0.024875158320745605
raw_sector_return,1,10,Ridge,-0.10132549992345628,-0.10235454425775625,-0.059956591023802686
raw_sector_return,1,13,ElasticNet,-0.16049382716049387,-0.16049382716049387,-0.16049382716049387
raw_sector_return,1,13,Lasso,-0.16049382716049387,-0.16049382716049387,-0.16049382716049387
raw_sector_return,1,13,OLS,-0.03061533187179901,-0.02682567356839738,0.06165362739681379
raw_sector_return,1,13,Ridge,-0.135367407229591,-0.14226780138477024,-0.047666781723489926
raw_sector_return,2,5,ElasticNet,-0.056084423435108374,-0.05617977528089879,-0.05513090497720419
raw_sector_return,2,5,Lasso,-0.0560719723161325,-0.05617977528089879,-0.054993942668469575
raw_sector_return,2,5,OLS,-0.021577045496263016,-0.03108235947897664,0.02726136604153806
raw_sector_return,2,5,Ridge,-0.042851301518271684,-0.05315458620313018,0.006592599999116655
raw_sector_return,2,10,ElasticNet,-0.09739537079477158,-0.11904761904761907,-0.0185137065003107
raw_sector_return,2,10,Lasso,-0.09884165791671493,-0.11904761904761907,-0.027996683417153223
raw_sector_return,2,10,OLS,-0.00698107442302175,-0.014862933839849601,0.051538562534132915
raw_sector_return,2,10,Ridge,-0.08572018049148687,-0.10304444309847716,0.006733093682103841
raw_sector_return,2,13,ElasticNet,-0.16049382716049387,-0.16049382716049387,-0.16049382716049387
raw_sector_return,2,13,Lasso,-0.16049382716049387,-0.16049382716049387,-0.16049382716049387
raw_sector_return,2,13,OLS,-0.011691620129090368,-0.004415483642334683,0.07311090713756574
raw_sector_return,2,13,Ridge,-0.12296718206866343,-0.1362913065659308,-0.03932032698099497
sector_excess_return,1,5,ElasticNet,-0.0460944429145081,-0.05617977528089879,0.014882836547019496
sector_excess_return,1,5,Lasso,-0.04625113777461153,-0.05617977528089879,0.017456544768932214
sector_excess_return,1,5,OLS,-0.005227385763673179,-0.009286617966210997,0.05975354392557519
sector_excess_return,1,5,Ridge,-0.03813895494029977,-0.04883079284066594,0.04774295888901192
sector_excess_return,1,10,ElasticNet,-0.10930344470461528,-0.11904761904761907,-0.05893697592658986
sector_excess_return,1,10,Lasso,-0.11187812475944116,-0.11904761904761907,-0.06715463354098605
sector_excess_return,1,10,OLS,0.013320124749362767,6.868703201434734e-06,0.14301667208155966
sector_excess_return,1,10,Ridge,-0.061586677049972116,-0.10385172260480724,0.12999773476827647
sector_excess_return,1,13,ElasticNet,-0.13062547472083708,-0.16049382716049387,0.168058049675731
sector_excess_return,1,13,Lasso,-0.13416716588568922,-0.16049382716049387,0.1290994468623573
sector_excess_return,1,13,OLS,0.015242406354600835,0.004972505966588714,0.19061298148332217
sector_excess_return,1,13,Ridge,-0.08968535690301033,-0.135494707787311,0.16457218922421368
sector_excess_return,2,5,ElasticNet,-0.042195937540578925,-0.05617977528089879,0.028946903321744766
sector_excess_return,2,5,Lasso,-0.0421032442175032,-0.05617977528089879,0.026277992253124993
sector_excess_return,2,5,OLS,0.010904980656285151,0.003720350507948944,0.09604835990047522
sector_excess_return,2,5,Ridge,-0.024710170372429063,-0.041237889681672746,0.0802162724438773
sector_excess_return,2,10,ElasticNet,-0.0937590823757728,-0.11904761904761907,0.03866367141833338
sector_excess_return,2,10,Lasso,-0.09370714721180994,-0.11904761904761907,0.04124914315339756
sector_excess_return,2,10,OLS,0.015774680502689334,0.006069038968519402,0.15159888032244084
sector_excess_return,2,10,Ridge,-0.0640268504150371,-0.10129981756300555,0.10069696794943306
sector_excess_return,2,13,ElasticNet,-0.11996613718856203,-0.16049382716049387,0.005464272216991528
sector_excess_return,2,13,Lasso,-0.12495988500124938,-0.16049382716049387,0.0057398521590789064
sector_excess_return,2,13,OLS,0.039148070655646225,0.026849409225543797,0.12698963501771376
sector_excess_return,2,13,Ridge,-0.08367916269443355,-0.13085791092902332,0.04652204354366485
