strategy,cost_bps,n_months,avg_monthly_turnover,ann_return,ann_volatility,sharpe,max_drawdown,final_cumulative_growth
Google/PCA top-1,0,59,0.4067796610169492,0.33418046570968607,0.19836756937827185,1.5646912885877498,-0.1151400512401145,4.127036788887815
Google/PCA top-1,5,59,0.4067796610169492,0.33100828533949467,0.19832893819548122,1.5526898524252908,-0.11558478355502066,4.079015897658391
Google/PCA top-1,10,59,0.4067796610169492,0.32784209992594926,0.19829401325648016,1.5406549436122268,-0.11602951586992682,4.031530664568213
Google/PCA top-1,25,59,0.4067796610169492,0.31837942939021957,0.19821149445394667,1.5043558333257012,-0.11736371281464608,3.8922320321912576
Google/PCA top-3,0,59,0.30508474576271183,0.26390529575090205,0.1702042298633855,1.4714619586227113,-0.18232039664337052,3.1629800783415827
Google/PCA top-3,5,59,0.30508474576271183,0.2616360971677629,0.17020100096363713,1.4607348932054027,-0.18356445302327062,3.135157446455644
Google/PCA top-3,10,59,0.30508474576271183,0.25937042526997156,0.17019880447891753,1.449998625119981,-0.18480691855389353,3.1075729105588823
Google/PCA top-3,25,59,0.30508474576271183,0.25259452298363105,0.1701984098207055,1.4177365541896567,-0.18852478669934103,3.0262281467858676
Google/PCA top-5,0,59,0.20677966101694914,0.22012988494810592,0.16923526765647431,1.2675050360967728,-0.15663312364148518,2.6596826320261284
Google/PCA top-5,5,59,0.20677966101694914,0.21864768759431108,0.16919723271088136,1.2604572347710112,-0.15739733791577015,2.6438348906361377
Google/PCA top-5,10,59,0.20677966101694914,0.2171670316776082,0.16915975100351655,1.2534021648161182,-0.15816097108291383,2.6280788273793974
Google/PCA top-5,25,59,0.20677966101694914,0.21273429888467832,0.16905062896353187,1.2321939615746351,-0.16044838755125135,2.581355572538878
Momentum top-3,0,59,0.6892655367231638,0.12195086975881475,0.1537408487690514,0.8279722348128042,-0.19570954775184624,1.7607784376793136
Momentum top-3,5,59,0.6892655367231638,0.1173636165147991,0.15371309073544864,0.8012171268415447,-0.19738611864768918,1.725664712715337
Momentum top-3,10,59,0.6892655367231638,0.11279336391405748,0.15368651419583512,0.7744464003197252,-0.19905982754489449,1.6912381172559041
Momentum top-3,25,59,0.6892655367231638,0.0991840447009007,0.153613879536884,0.6940465819694027,-0.2040638205684593,1.5919504423848927
