,Materials_excess,Communication Services_excess,Energy_excess,Financials_excess,Industrials_excess,Technology_excess,Consumer Staples_excess,Real Estate_excess,Utilities_excess,Health Care_excess,Consumer Discretionary_excess
2016-06-01,-0.011067025499686634,,0.02220299663020453,-0.035758513468901354,0.003325046600466064,-0.01684103486312727,0.04899963031948007,0.0540333047016347,0.06926341897710853,0.00676044073256532,-0.013175734085581037
2016-07-01,0.014105248391981462,,-0.04796192312658054,-0.0017708585662614684,9.554913938836229e-05,0.03437036815634431,-0.04405327405723691,-0.0009471213934326705,-0.04040654952474365,0.01102915644993785,0.007455849755885424
2016-08-01,-0.0038672189214884467,,0.015573133557174934,0.037279984376070274,0.008279025735569823,0.010428232437837304,-0.0070477461666151875,-0.038627628324752084,-0.05664616936480804,-0.03364424638391972,-0.014184307443333766
2016-09-01,-0.01171189879986867,,0.035620830171033235,-0.027674062411215727,0.0013837176711807286,0.021780478719132246,-0.01654667700663026,-0.013306057577448849,9.321246647853165e-05,-0.003965304552993709,-0.001486915439462444
2016-10-01,-0.003523226110689004,,-0.009936017317193957,0.0400607525163964,-0.0023122285092173067,0.008943333104080686,0.010812808092050985,-0.03817593840759559,0.02995835790291379,-0.04988199693163231,-0.008144124849327805
2016-11-01,0.03139712194607247,,0.04783047715894262,0.10348579038821248,0.05405482485769175,-0.035151051569850544,-0.07888394001005983,-0.0672099358781888,-0.09105621872259828,-0.01620316189630011,0.011176536098934653
2016-12-01,-0.019098817317381944,,-0.002335475949068133,0.01858073640680602,-0.017337854174722,0.0038116651850561567,0.008047580017463751,0.01036493614912759,0.024636994764406506,-0.01152907752572685,-0.019790865082651155
2017-01-01,0.028482758200245595,,-0.050907175258352644,-0.016760582880337882,0.0009875217287913518,0.016242882876975395,0.0007093939195590426,-0.006863632229778371,-0.001532435594403081,0.003511751887332659,0.024413998610031573
2017-02-01,-0.03371051757328547,,-0.060142035504126334,0.013475524857932353,-0.0001630649994575073,0.006035378023466764,0.008435751453674811,0.007272662635437577,0.013371798454530515,0.02409398675249763,-0.021137964642000018
2017-03-01,0.0061492967397308584,,-0.017646873676848362,-0.029920281395916626,-0.009059915719133227,0.021425457819351013,-0.0063501551589657534,-0.01371420765848319,-0.005798435455965478,-0.005313834877229362,0.021380471748932428
2017-04-01,0.001459345567277781,,-0.03796883424303488,-0.019214175859817995,0.009990596561887166,0.00968043508012384,0.001991104330415494,-0.006349129291200573,0.0009381800806635976,0.004692182162151948,0.012733982126578614
2017-05-01,-0.013924055919110057,,-0.04949013097435051,-0.026012855833982496,0.0036741404701812197,0.02542355787903805,0.012346167148220344,-0.00747765114927712,0.02727996244047315,-0.0064304667426644535,-0.003119802845581443
2017-06-01,0.012261586220297493,,-0.009437365225485439,0.05958426653935622,0.007247659983687926,-0.03350969157666317,-0.03150526950763122,0.009180607642329308,-0.0364093123707695,0.040043612721525346,-0.017087461936732162
2017-07-01,-0.005349107000422126,,0.007719357626293721,-0.004616592410194631,-0.017847968239899092,0.023268471430518023,-0.010850286166956602,-0.004937787377349734,0.0070281832879335315,-0.013324420388331593,-0.0031205324642247234
2017-08-01,0.004951878956801936,,-0.05770601060826319,-0.01846197643619707,-0.0007216653346395763,0.026298576209856206,-0.01394452643136479,0.007208025606957991,0.029964604278344353,0.014606337290134386,-0.02152566567230474
2017-09-01,0.016303463444802047,,0.0723905028160603,0.03185257855423895,0.02199064838642939,-0.010521932743454254,-0.028454199111362266,-0.03576728134567364,-0.05003931776514703,-0.00969824394116836,-0.010426647441555081
2017-10-01,0.01568292836838414,,-0.023907823431959407,0.004261512769426989,-0.01657249149111384,0.0403053710010699,-0.03895840921398508,-0.013356129600377908,0.018300743480008208,-0.03257675607335775,-0.0038278662328372626
2017-11-01,-0.021074124188016352,,-0.013043002358798628,0.004020418625497291,0.011094951370776762,-0.016427646923276473,0.025188594179101242,-0.00133461399939927,-0.0037155459825402026,-0.0014696119562696008,0.020091802299914807
2017-12-01,0.009305284730746655,,0.038750128029245046,0.007190393240092519,0.008587202376423075,-0.005257974229115003,0.00800580500234438,-0.022227704660827352,-0.07623878648542781,-0.016445481068032786,0.014126245879212407
2018-01-01,-0.016678579956752815,,-0.01901846518861694,0.008758520354161137,-0.002379905308857566,0.01259992770629026,-0.037857557261546715,-0.07006298644247988,-0.08385822353166827,0.008054785740933879,0.03437012056736144
2018-02-01,-0.016380060384829753,,-0.0719899385065893,0.007106512896056905,-0.00227047266918301,0.03226977658857688,-0.0399110988229433,-0.03173004043896277,-0.0024330525172784334,-0.008588456016361712,0.0016694606759759534
2018-03-01,-0.013821096749989992,,0.041329560110456076,-0.013738858925999131,0.0005013071479166298,-0.009050037222967267,0.01668653434931311,0.0635055263277925,0.061253811379055834,-0.0012742680423036834,0.004577859462548073
2018-04-01,-0.004139842486765577,,0.09354271774337275,-0.009922812873490283,-0.03314008640121113,-0.005452496200050394,-0.045231257635724775,-0.009458598215259406,0.019117027836789813,0.004921135417693234,0.01761284426951315
2018-05-01,-0.00378617571626072,,0.005633074101157209,-0.03414481161065508,0.0064304663725078814,0.04351880377863626,-0.03996777970136223,-0.0019716989504712235,-0.03536391608832157,-0.022485294433089553,-0.004443325456720881
2018-06-01,-0.0031459976613003038,,-0.0023075346062845226,-0.022962463805128785,-0.039003712257209555,-0.0074069650394182895,0.03640081672963835,0.03452677047448849,0.017767842641838172,0.011485932124011944,0.03221642079658138
2018-07-01,-0.008328465948241659,-0.06330622724005397,-0.01930460214479046,0.013997822995780451,0.036454655017882365,-0.017214688336854467,0.005935026330297299,-0.02269128022651845,-0.016641146521653383,0.027785001366202433,-0.021005174757181777
2018-08-01,-0.03962118512778667,-0.017062050850311206,-0.06667088477551009,-0.01832417804431219,-0.029579227782460027,0.03406989704777574,-0.027999430172510165,-0.007713793899374322,-0.019038774457468488,0.011372693718547655,0.019127426480261
2018-09-01,-0.024020486666064045,-0.005072145341915801,0.016051485246638242,-0.02788589894385496,0.015448726242922595,-0.0049836802495139,0.0013766554631955419,-0.03804443094622256,-0.016747739289995178,0.024132115004940502,0.0008964403708298097
2018-10-01,-0.022620162548864786,0.007025410975589952,-0.04229473401929029,0.021981963162023388,-0.03947712839313999,-0.012037695799627879,0.09212071737519556,0.05933386160238219,0.09381127833156355,0.0007365164579266059,-0.033429696711056
2018-11-01,0.01946614346244724,-0.04092161517671011,-0.03418355371384241,0.007706132822417278,0.019515789177446674,-0.03817427919204819,0.004173963226077548,0.03629641945754791,0.016838542980919913,0.06228493440742833,0.006218299895087709
2018-12-01,0.018448253711360718,0.010472588416950868,-0.03916359395824276,-0.023453274389946044,-0.018732865611216898,0.005618505635832216,-0.00406197045329848,0.009147755470649943,0.04531300984658271,-0.004289024823538656,0.010187250469049114
