target_type,target,pc_count,horizon,model,n_oos,start,end,oos_r2,msfe_model,msfe_benchmark,msfe_ratio,directional_accuracy
raw_sector_return,Materials,5,1,OLS,59,2021-06-01,2026-04-01,-0.1669194805256442,0.0038823270941226715,0.0033269879875292337,1.1669194805256442,0.5084745762711864
raw_sector_return,Materials,5,1,Ridge,59,2021-06-01,2026-04-01,-0.05622933169421129,0.0035140622986226714,0.0033269879875292337,1.0562293316942113,0.576271186440678
raw_sector_return,Materials,5,1,Lasso,59,2021-06-01,2026-04-01,-0.04194712930160449,0.0034665455828270077,0.0033269879875292337,1.0419471293016045,0.5423728813559322
raw_sector_return,Materials,5,1,ElasticNet,59,2021-06-01,2026-04-01,-0.04793729124111068,0.003486474779643099,0.0033269879875292337,1.0479372912411107,0.5254237288135594
raw_sector_return,Materials,10,1,OLS,59,2021-06-01,2026-04-01,-0.3442110587628606,0.00447217404520799,0.0033269879875292337,1.3442110587628606,0.423728813559322
raw_sector_return,Materials,10,1,Ridge,59,2021-06-01,2026-04-01,-0.03577940961839121,0.0034460256535305094,0.0033269879875292337,1.0357794096183912,0.5254237288135594
raw_sector_return,Materials,10,1,Lasso,59,2021-06-01,2026-04-01,-0.059931452442266275,0.003526379209879833,0.0033269879875292337,1.0599314524422663,0.5254237288135594
raw_sector_return,Materials,10,1,ElasticNet,59,2021-06-01,2026-04-01,-0.05684815870889759,0.0035161211286668915,0.0033269879875292337,1.0568481587088976,0.5084745762711864
raw_sector_return,Materials,13,1,OLS,59,2021-06-01,2026-04-01,-0.4455207687179983,0.004809230233248804,0.0033269879875292337,1.4455207687179983,0.4067796610169492
raw_sector_return,Materials,13,1,Ridge,59,2021-06-01,2026-04-01,-0.03433558429259609,0.003441222064015498,0.0033269879875292337,1.034335584292596,0.5254237288135594
raw_sector_return,Materials,13,1,Lasso,59,2021-06-01,2026-04-01,-0.034035097473914755,0.0034402223479793347,0.0033269879875292337,1.0340350974739148,0.5254237288135594
raw_sector_return,Materials,13,1,ElasticNet,59,2021-06-01,2026-04-01,-0.030254101134366218,0.0034276430185767644,0.0033269879875292337,1.0302541011343662,0.5254237288135594
raw_sector_return,Materials,5,2,OLS,58,2021-06-01,2026-03-01,-0.19498937759574164,0.0040360510191526245,0.003377478574138421,1.1949893775957416,0.5172413793103449
raw_sector_return,Materials,5,2,Ridge,58,2021-06-01,2026-03-01,-0.022710868441648824,0.003454184045700166,0.003377478574138421,1.0227108684416488,0.5172413793103449
raw_sector_return,Materials,5,2,Lasso,58,2021-06-01,2026-03-01,0.00017283953524949158,0.003376894812311352,0.003377478574138421,0.9998271604647505,0.5344827586206896
raw_sector_return,Materials,5,2,ElasticNet,58,2021-06-01,2026-03-01,-0.0013606983952960672,0.003382074303814398,0.003377478574138421,1.001360698395296,0.5344827586206896
raw_sector_return,Materials,10,2,OLS,58,2021-06-01,2026-03-01,-0.30293278390211054,0.004400627561171904,0.003377478574138421,1.3029327839021105,0.5
raw_sector_return,Materials,10,2,Ridge,58,2021-06-01,2026-03-01,-0.05920044314828088,0.0035774268024512394,0.003377478574138421,1.0592004431482809,0.5
raw_sector_return,Materials,10,2,Lasso,58,2021-06-01,2026-03-01,-0.01769982805102366,0.0034372593641466874,0.003377478574138421,1.0176998280510237,0.5172413793103449
raw_sector_return,Materials,10,2,ElasticNet,58,2021-06-01,2026-03-01,-0.012595354651620205,0.003420019114607943,0.003377478574138421,1.0125953546516202,0.5172413793103449
raw_sector_return,Materials,13,2,OLS,58,2021-06-01,2026-03-01,-0.681189271389304,0.005678180743188758,0.003377478574138421,1.681189271389304,0.43103448275862066
raw_sector_return,Materials,13,2,Ridge,58,2021-06-01,2026-03-01,-0.1187711589802889,0.003778625618819935,0.003377478574138421,1.118771158980289,0.5
raw_sector_return,Materials,13,2,Lasso,58,2021-06-01,2026-03-01,-0.003932607023930279,0.0033907608701022516,0.003377478574138421,1.0039326070239303,0.5172413793103449
raw_sector_return,Materials,13,2,ElasticNet,58,2021-06-01,2026-03-01,-0.0017675863440740347,0.0033834485591434705,0.003377478574138421,1.001767586344074,0.5344827586206896
raw_sector_return,Communication Services,5,1,OLS,34,2023-07-01,2026-04-01,-0.16770874692801319,0.0017492534650357281,0.0014980220621260499,1.1677087469280132,0.6470588235294118
raw_sector_return,Communication Services,5,1,Ridge,34,2023-07-01,2026-04-01,0.00850502094979011,0.00148528135310442,0.0014980220621260499,0.9914949790502099,0.6176470588235294
raw_sector_return,Communication Services,5,1,Lasso,34,2023-07-01,2026-04-01,0.004804336162678169,0.001490825060560488,0.0014980220621260499,0.9951956638373218,0.6176470588235294
raw_sector_return,Communication Services,5,1,ElasticNet,34,2023-07-01,2026-04-01,0.0023379699925631936,0.0014945197314966015,0.0014980220621260499,0.9976620300074368,0.6176470588235294
raw_sector_return,Communication Services,10,1,OLS,34,2023-07-01,2026-04-01,-0.32423043359738113,0.001983726404867622,0.0014980220621260499,1.3242304335973811,0.5882352941176471
raw_sector_return,Communication Services,10,1,Ridge,34,2023-07-01,2026-04-01,-0.005193012500576577,0.00150580130942081,0.0014980220621260499,1.0051930125005766,0.6176470588235294
raw_sector_return,Communication Services,10,1,Lasso,34,2023-07-01,2026-04-01,-0.06141070163025941,0.0015900166480188186,0.0014980220621260499,1.0614107016302594,0.6176470588235294
raw_sector_return,Communication Services,10,1,ElasticNet,34,2023-07-01,2026-04-01,-0.056827090334437,0.0015831502971734664,0.0014980220621260499,1.056827090334437,0.6176470588235294
raw_sector_return,Communication Services,13,1,OLS,34,2023-07-01,2026-04-01,-1.0125126468045296,0.003014788345220876,0.0014980220621260499,2.0125126468045296,0.38235294117647056
raw_sector_return,Communication Services,13,1,Ridge,34,2023-07-01,2026-04-01,-0.03318579487806694,0.0015477351150025838,0.0014980220621260499,1.033185794878067,0.6176470588235294
raw_sector_return,Communication Services,13,1,Lasso,34,2023-07-01,2026-04-01,0.004964609874947956,0.001490584967003529,0.0014980220621260499,0.995035390125052,0.6176470588235294
raw_sector_return,Communication Services,13,1,ElasticNet,34,2023-07-01,2026-04-01,0.03750292912313635,0.001441841846905242,0.0014980220621260499,0.9624970708768636,0.6176470588235294
raw_sector_return,Communication Services,5,2,OLS,33,2023-07-01,2026-03-01,-0.09164254541892114,0.0016673033382894244,0.0015273345155758762,1.0916425454189211,0.6363636363636364
raw_sector_return,Communication Services,5,2,Ridge,33,2023-07-01,2026-03-01,-0.035369088838829166,0.0015813549457438895,0.0015273345155758762,1.0353690888388292,0.6363636363636364
raw_sector_return,Communication Services,5,2,Lasso,33,2023-07-01,2026-03-01,-0.003175476274232203,0.0015321845300929034,0.0015273345155758762,1.0031754762742322,0.6363636363636364
raw_sector_return,Communication Services,5,2,ElasticNet,33,2023-07-01,2026-03-01,0.0,0.0015273345155758762,0.0015273345155758762,1.0,0.6363636363636364
raw_sector_return,Communication Services,10,2,OLS,33,2023-07-01,2026-03-01,-0.13146811520980628,0.0017281303056335192,0.0015273345155758762,1.1314681152098063,0.6060606060606061
raw_sector_return,Communication Services,10,2,Ridge,33,2023-07-01,2026-03-01,-0.10276486496137727,0.0016842908408198816,0.0015273345155758762,1.1027648649613773,0.6060606060606061
raw_sector_return,Communication Services,10,2,Lasso,33,2023-07-01,2026-03-01,-0.0019508417645268672,0.0015303141035372652,0.0015273345155758762,1.0019508417645269,0.6363636363636364
raw_sector_return,Communication Services,10,2,ElasticNet,33,2023-07-01,2026-03-01,0.021691950123921888,0.00149420365144146,0.0015273345155758762,0.9783080498760781,0.6363636363636364
raw_sector_return,Communication Services,13,2,OLS,33,2023-07-01,2026-03-01,-0.3226204599376441,0.002020083879469604,0.0015273345155758762,1.322620459937644,0.6060606060606061
raw_sector_return,Communication Services,13,2,Ridge,33,2023-07-01,2026-03-01,-0.05087333423062912,0.0016050351148687437,0.0015273345155758762,1.0508733342306291,0.5757575757575758
raw_sector_return,Communication Services,13,2,Lasso,33,2023-07-01,2026-03-01,-0.033783140460266425,0.001578932672045389,0.0015273345155758762,1.0337831404602664,0.6363636363636364
raw_sector_return,Communication Services,13,2,ElasticNet,33,2023-07-01,2026-03-01,-0.013293666728211306,0.001547638391608436,0.0015273345155758762,1.0132936667282113,0.6363636363636364
raw_sector_return,Energy,5,1,OLS,59,2021-06-01,2026-04-01,-0.10764686314568817,0.006637452737161799,0.0059923906779382795,1.1076468631456882,0.4576271186440678
raw_sector_return,Energy,5,1,Ridge,59,2021-06-01,2026-04-01,-0.02302544637829418,0.006130368148170937,0.0059923906779382795,1.0230254463782942,0.559322033898305
raw_sector_return,Energy,5,1,Lasso,59,2021-06-01,2026-04-01,0.0017765619127863008,0.005981744824893318,0.0059923906779382795,0.9982234380872137,0.576271186440678
raw_sector_return,Energy,5,1,ElasticNet,59,2021-06-01,2026-04-01,0.0032772476657937366,0.005972752129576482,0.0059923906779382795,0.9967227523342063,0.576271186440678
