strategy,n_months,ann_return,ann_volatility,sharpe,max_drawdown,ann_excess_return_vs_spy,excess_sharpe_vs_spy,ann_excess_return_vs_equal_weight,avg_monthly_turnover
Google/PCA top-1,59,0.33418046570968607,0.19836756937827185,1.5646912885877498,-0.1151400512401145,0.17384618420858522,1.3353755323678458,0.19484166832512242,0.39655172413793105
Google/PCA top-3,59,0.26390529575090205,0.1702042298633855,1.4714619586227113,-0.18232039664337052,0.1139112259047246,1.956325435650271,0.13490671002126176,0.293103448275862
Google/PCA top-5,59,0.22012988494810592,0.16923526765647431,1.2675050360967728,-0.15663312364148518,0.07796873050384373,1.3414970635177845,0.09896421462038091,0.19310344827586207
Google/PCA long top-3 short bottom-3,59,0.27553045605435345,0.12366654683028756,2.0481723055738947,-0.11997054018281306,,,,
Momentum top-3,59,0.12195086975881475,0.1537408487690514,0.8279722348128042,-0.19570954775184624,-0.009244669398593962,-0.08378184691625001,0.011750814717943186,0.6839080459770116
SPY,59,0.1310191237902285,0.16132245066221196,0.8463659148212116,-0.23972232987544317,,,,
Equal-weight sectors,59,0.10964239751577964,0.14973099312450255,0.7716661528005175,-0.18305084554030882,-0.020995484116537164,-0.3667735590246784,,
