date,model,pc_count,horizon,n_holdings,holdings,strategy_return,spy_return,equal_weight_sector_return,strategy_excess_vs_spy,strategy_excess_vs_equal_weight
2021-06-01,OLS,5,1,3,"Technology, Real Estate, Financials",0.019140935513891177,0.019093490355940324,0.00407739581689008,4.744515795085391e-05,0.015063539697001097
2021-07-01,OLS,5,1,3,"Technology, Real Estate, Health Care",0.0490370809139374,0.027764076188469655,0.020182187624220596,0.021273004725467747,0.028854893289716806
2021-08-01,OLS,5,1,3,"Financials, Real Estate, Technology",0.03836723583339744,0.02975988974776289,0.02314835762769928,0.00860734608563455,0.015218878205698162
2021-09-01,OLS,5,1,3,"Financials, Technology, Consumer Discretionary",-0.035192972360376294,-0.049650139483337186,-0.04318220532075823,0.014457167122960891,0.007989232960381933
2021-10-01,OLS,5,1,3,"Financials, Real Estate, Consumer Discretionary",0.09394349681880487,0.07359206137685681,0.0718285512814849,0.020351435441948063,0.022114945537319977
2021-11-01,OLS,5,1,3,"Energy, Consumer Discretionary, Financials",-0.030295446526309222,-0.00803491038316273,-0.019905417546838097,-0.022260536143146492,-0.010390028979471125
2021-12-01,OLS,5,1,3,"Energy, Technology, Consumer Discretionary",0.015731219808572616,0.0425848772954196,0.0537852115257696,-0.026853657486846982,-0.038053991717196985
2022-01-01,OLS,5,1,3,"Energy, Technology, Financials",0.047165249667270016,-0.049413238680520055,-0.025685485106953607,0.09657848834779006,0.07285073477422363
2022-02-01,OLS,5,1,3,"Energy, Real Estate, Technology",-0.008677794020095239,-0.029517208095069525,-0.019893052623656312,0.020839414074974284,0.011215258603561073
2022-03-01,OLS,5,1,3,"Materials, Energy, Financials",0.04501407519826598,0.03437722458951975,0.043686844608537896,0.01063685060874623,0.0013272305897280845
2022-04-01,OLS,5,1,3,"Consumer Staples, Real Estate, Utilities",-0.01298416878723796,-0.08493504374409111,-0.05990637780851931,0.07195087495685315,0.04692220902128135
2022-05-01,OLS,5,1,3,"Energy, Utilities, Health Care",0.07277252048543408,0.00225712677897949,0.011115493540274059,0.07051539370645458,0.061657026945160016
2022-06-01,OLS,5,1,3,"Utilities, Health Care, Consumer Staples",-0.03914346027338511,-0.08640701297398934,-0.0920355554556921,0.04726355270060423,0.05289209518230699
2022-07-01,OLS,5,1,3,"Utilities, Consumer Staples, Health Care",0.046486475879709145,0.09680526146568647,0.08676394098671379,-0.05031878558597732,-0.04027746510700465
2022-08-01,OLS,5,1,3,"Utilities, Consumer Staples, Energy",0.004423809834627979,-0.04080214098808066,-0.029609265061107223,0.04522595082270864,0.034033074895735205
