direction,target_type,target,pc_count,lags,F,pvalue,nobs,df_num,df_den
PCs -> target,raw_sector_return,Energy,13,2,1.058330445748682,0.4061062424365281,118,26,89
PCs -> target,raw_sector_return,Financials,13,2,1.586968132473828,0.057763792770813414,118,26,89
PCs -> target,raw_sector_return,Industrials,13,2,1.0947462916520139,0.3647670115737893,118,26,89
PCs -> target,raw_sector_return,Technology,13,2,0.7875868416979772,0.7514676886865821,118,26,89
PCs -> target,raw_sector_return,Consumer Staples,13,2,0.8662369832343247,0.6515060047305656,118,26,89
PCs -> target,raw_sector_return,Real Estate,13,2,0.8921502178700487,0.617372080949853,118,26,89
PCs -> target,raw_sector_return,Utilities,13,2,0.7212926128857191,0.8268978969532325,118,26,89
PCs -> target,raw_sector_return,Health Care,13,2,0.8922685577216711,0.6172157307418572,118,26,89
PCs -> target,raw_sector_return,Consumer Discretionary,13,2,0.9863532892538869,0.4942351296043732,118,26,89
PCs -> target,sector_excess_return,Materials_excess,5,1,0.43652104750338816,0.8222263840781392,119,5,112
PCs -> target,sector_excess_return,Communication Services_excess,5,1,1.6264226190073987,0.1614733337832809,94,5,87
PCs -> target,sector_excess_return,Energy_excess,5,1,0.8554536316805635,0.5135431318536141,119,5,112
PCs -> target,sector_excess_return,Financials_excess,5,1,1.512500446842047,0.19155348020165577,119,5,112
PCs -> target,sector_excess_return,Industrials_excess,5,1,0.09409538345974745,0.9929845166689718,119,5,112
PCs -> target,sector_excess_return,Technology_excess,5,1,1.0944871784579606,0.36748527596438113,119,5,112
PCs -> target,sector_excess_return,Consumer Staples_excess,5,1,0.09373587953754288,0.9930467607552836,119,5,112
PCs -> target,sector_excess_return,Real Estate_excess,5,1,0.24243648628597525,0.942776778652063,119,5,112
PCs -> target,sector_excess_return,Utilities_excess,5,1,0.0916908814510168,0.9933951404608068,119,5,112
PCs -> target,sector_excess_return,Health Care_excess,5,1,0.2729372649793747,0.9270828911473862,119,5,112
PCs -> target,sector_excess_return,Consumer Discretionary_excess,5,1,0.6165333212657578,0.6874328689927495,119,5,112
PCs -> target,sector_excess_return,Materials_excess,5,2,1.7899183214595453,0.07125895996743749,118,10,105
PCs -> target,sector_excess_return,Communication Services_excess,5,2,1.3668314262747414,0.2108923589899896,93,10,80
PCs -> target,sector_excess_return,Energy_excess,5,2,1.04400971624758,0.41239064919597435,118,10,105
PCs -> target,sector_excess_return,Financials_excess,5,2,1.1110305883235696,0.36094149191418384,118,10,105
PCs -> target,sector_excess_return,Industrials_excess,5,2,0.7456199265996137,0.6800957365340985,118,10,105
PCs -> target,sector_excess_return,Technology_excess,5,2,1.931887987659919,0.04868141257153304,118,10,105
PCs -> target,sector_excess_return,Consumer Staples_excess,5,2,0.4582281253023323,0.9130736613894727,118,10,105
PCs -> target,sector_excess_return,Real Estate_excess,5,2,0.738534360080194,0.6867326384268853,118,10,105
PCs -> target,sector_excess_return,Utilities_excess,5,2,0.5778026403017833,0.8288485313859574,118,10,105
PCs -> target,sector_excess_return,Health Care_excess,5,2,0.6696593904470897,0.7501594071590416,118,10,105
PCs -> target,sector_excess_return,Consumer Discretionary_excess,5,2,1.3489230201205071,0.214612720542832,118,10,105
PCs -> target,sector_excess_return,Materials_excess,10,1,0.6451013287965225,0.7721090184515308,119,10,107
PCs -> target,sector_excess_return,Communication Services_excess,10,1,2.287824729319628,0.020196158292443762,94,10,82
PCs -> target,sector_excess_return,Energy_excess,10,1,1.0916020895798615,0.3752083101875296,119,10,107
PCs -> target,sector_excess_return,Financials_excess,10,1,1.8371263246090488,0.0625902938757908,119,10,107
PCs -> target,sector_excess_return,Industrials_excess,10,1,1.2056260434546868,0.29566533864716316,119,10,107
PCs -> target,sector_excess_return,Technology_excess,10,1,1.7163072687599945,0.08617613807122432,119,10,107
PCs -> target,sector_excess_return,Consumer Staples_excess,10,1,0.3913807995690184,0.9479807735548883,119,10,107
PCs -> target,sector_excess_return,Real Estate_excess,10,1,0.23673521678888723,0.9918821661322739,119,10,107
PCs -> target,sector_excess_return,Utilities_excess,10,1,0.5745686483392315,0.8315211418771253,119,10,107
PCs -> target,sector_excess_return,Health Care_excess,10,1,0.6063179571301949,0.805502791663534,119,10,107
PCs -> target,sector_excess_return,Consumer Discretionary_excess,10,1,0.3940666865007104,0.9467693889024394,119,10,107
PCs -> target,sector_excess_return,Materials_excess,10,2,1.1208836343086996,0.3423493114633816,118,20,95
PCs -> target,sector_excess_return,Communication Services_excess,10,2,1.7201435604938542,0.050396833811161966,93,20,70
PCs -> target,sector_excess_return,Energy_excess,10,2,1.151962808671856,0.31334847309741093,118,20,95
PCs -> target,sector_excess_return,Financials_excess,10,2,1.4404673440712839,0.12303571147140147,118,20,95
PCs -> target,sector_excess_return,Industrials_excess,10,2,1.3115963858285422,0.19111766559826224,118,20,95
PCs -> target,sector_excess_return,Technology_excess,10,2,1.3206415385025148,0.18550366197069096,118,20,95
PCs -> target,sector_excess_return,Consumer Staples_excess,10,2,0.5309461138457732,0.9463613547987014,118,20,95
PCs -> target,sector_excess_return,Real Estate_excess,10,2,0.8737854997412882,0.6194382164197738,118,20,95
PCs -> target,sector_excess_return,Utilities_excess,10,2,0.9528493512911881,0.5244734069219202,118,20,95
PCs -> target,sector_excess_return,Health Care_excess,10,2,0.7626428664684948,0.7503885460570106,118,20,95
PCs -> target,sector_excess_return,Consumer Discretionary_excess,10,2,1.011845850527786,0.4563593113261536,118,20,95
PCs -> target,sector_excess_return,Materials_excess,13,1,0.9031273278938664,0.5523613603481063,119,13,104
PCs -> target,sector_excess_return,Communication Services_excess,13,1,2.9261704639594974,0.0016394300350250173,94,13,79
PCs -> target,sector_excess_return,Energy_excess,13,1,1.0327100734795216,0.42641548130395995,119,13,104
PCs -> target,sector_excess_return,Financials_excess,13,1,1.5272678753450806,0.11983882764218212,119,13,104
PCs -> target,sector_excess_return,Industrials_excess,13,1,1.3620596968868572,0.1905513509400823,119,13,104
PCs -> target,sector_excess_return,Technology_excess,13,1,1.6482972266360778,0.0837398813387679,119,13,104
PCs -> target,sector_excess_return,Consumer Staples_excess,13,1,0.31376074780805646,0.9887527527718905,119,13,104
PCs -> target,sector_excess_return,Real Estate_excess,13,1,0.21780716140690579,0.9981442117875788,119,13,104
PCs -> target,sector_excess_return,Utilities_excess,13,1,0.5734157023356127,0.870230781664102,119,13,104
PCs -> target,sector_excess_return,Health Care_excess,13,1,0.48117392849178664,0.9307851361309684,119,13,104
PCs -> target,sector_excess_return,Consumer Discretionary_excess,13,1,0.3536793403872073,0.9806016453492198,119,13,104
PCs -> target,sector_excess_return,Materials_excess,13,2,1.2821529364402189,0.19504671161413675,118,26,89
PCs -> target,sector_excess_return,Communication Services_excess,13,2,1.723412759522263,0.04029737413149998,93,26,64
PCs -> target,sector_excess_return,Energy_excess,13,2,0.996999019198115,0.4807487148120676,118,26,89
PCs -> target,sector_excess_return,Financials_excess,13,2,1.40339648008069,0.12317995279373244,118,26,89
PCs -> target,sector_excess_return,Industrials_excess,13,2,1.3152538274443317,0.17269158274021035,118,26,89
PCs -> target,sector_excess_return,Technology_excess,13,2,1.2411716305810006,0.22580717056682134,118,26,89
PCs -> target,sector_excess_return,Consumer Staples_excess,13,2,0.6486840604741365,0.8949011542955234,118,26,89
PCs -> target,sector_excess_return,Real Estate_excess,13,2,0.6875570828629882,0.8606479588429483,118,26,89
PCs -> target,sector_excess_return,Utilities_excess,13,2,1.0382721623265188,0.42988127773203144,118,26,89
PCs -> target,sector_excess_return,Health Care_excess,13,2,0.6643928350488267,0.8816867588022653,118,26,89
PCs -> target,sector_excess_return,Consumer Discretionary_excess,13,2,1.0135585863693135,0.46005094851561756,118,26,89
