,"Search -> Return
Lag 1","Return -> Search
Lag 1","Search -> Return
Lag 2","Return -> Search
Lag 2"
Materials_excess,0.7721090184515308,0.23363711681702629,0.3423493114633816,0.2111830004715873
Communication Services_excess,0.020196158292443762,0.08042616464012682,0.050396833811161966,0.09263259081352511
Energy_excess,0.3752083101875296,0.061150325432384564,0.31334847309741093,0.0006640062395474284
Financials_excess,0.0625902938757908,0.06258547376648085,0.12303571147140147,0.10705735578384674
Industrials_excess,0.29566533864716316,0.20140989780149465,0.19111766559826224,0.11089579189750629
Technology_excess,0.08617613807122432,0.09284202622367017,0.18550366197069096,0.23351952019030162
Consumer Staples_excess,0.9479807735548883,0.10683184612750496,0.9463613547987014,0.013102448273177175
Real Estate_excess,0.9918821661322739,0.20896544635243108,0.6194382164197738,0.2770003353901861
Utilities_excess,0.8315211418771253,0.0896159666721775,0.5244734069219202,0.020629792387043787
Health Care_excess,0.805502791663534,0.06423013073583454,0.7503885460570106,0.22562754586573255
Consumer Discretionary_excess,0.9467693889024394,0.038994632332696004,0.4563593113261536,0.015379354287383226
