target_type,horizon,pc_count,model,mean_oos_r2,median_oos_r2,max_oos_r2,mean_directional_accuracy
raw_sector_return,1,5,ElasticNet,-0.0053567619454751155,-0.00011773737167519727,0.037990444118766176,0.5754101332366537
raw_sector_return,1,5,Lasso,8.390501325218246e-05,0.0,0.03314437524567093,0.5723284691380404
raw_sector_return,1,5,OLS,-0.1616097681776091,-0.15724110597989416,-0.10485143867349977,0.5087464878092993
raw_sector_return,1,5,Ridge,-0.030530643029653037,-0.02302544637829418,0.014029238641171227,0.5630834768422006
raw_sector_return,1,10,ElasticNet,-0.028108641238537825,-0.0071742606691946875,0.016994037488450964,0.5661651409408139
raw_sector_return,1,10,Lasso,-0.02986196553399765,-0.007894684289259546,0.019063545077382726,0.5692468050394272
raw_sector_return,1,10,OLS,-0.32559142773691474,-0.3041450450966423,-0.20196453721874175,0.5157255506208647
raw_sector_return,1,10,Ridge,-0.04020462583769409,-0.020206174962582812,0.022793714750430794,0.5553793165956675
raw_sector_return,1,13,ElasticNet,-0.024651838188874044,-0.000737747413807055,0.03750292912313635,0.5646243088915073
raw_sector_return,1,13,Lasso,-0.02632866747202931,0.0,0.006037188190031184,0.5646243088915073
raw_sector_return,1,13,OLS,-0.5338659606941484,-0.49635148483930824,-0.3036115941173225,0.46156983594670536
raw_sector_return,1,13,Ridge,-0.05329606148122414,-0.03433558429259609,-0.018509252393518194,0.553838484546361
raw_sector_return,2,5,ElasticNet,-0.01991354341337235,-0.005683725684406671,0.0020633140146852913,0.5656882302650327
raw_sector_return,2,5,Lasso,-0.012935456499042737,-0.0056814970708956025,0.005188402804880976,0.5688230265032772
raw_sector_return,2,5,OLS,-0.15235357011337783,-0.16715420160970473,-0.07292491262005463,0.5437446565973212
raw_sector_return,2,5,Ridge,-0.02297699461193159,-0.022710868441648824,-0.0017127160915246797,0.5656882302650328
raw_sector_return,2,10,ElasticNet,-0.00296710588346515,0.0009979020768641211,0.021691950123921888,0.5578512396694215
raw_sector_return,2,10,Lasso,-0.004180866461395715,-0.00025718939256202944,0.016847599071620145,0.560986035907666
raw_sector_return,2,10,OLS,-0.2798743387958789,-0.2598979251216498,-0.13146811520980628,0.5253158544694595
raw_sector_return,2,10,Ridge,-0.026549674108219956,-0.025063974408185308,0.011858781867789436,0.5629334093283936
raw_sector_return,2,13,ElasticNet,-0.00921502578807475,-0.013293666728211306,0.055114206420399325,0.560986035907666
raw_sector_return,2,13,Lasso,-0.0064356427979942454,-0.005273609217640862,0.05541974158666685,0.5656882302650328
raw_sector_return,2,13,OLS,-0.5307551761511199,-0.4946007357297191,-0.3226204599376441,0.5002374845635034
raw_sector_return,2,13,Ridge,-0.05512492058518769,-0.04503588737160236,-0.019705411616774082,0.544504607200532
sector_excess_return,1,5,ElasticNet,-0.01789903120595584,-0.008952746855373395,0.026842121885481296,0.49814193782289495
sector_excess_return,1,5,Lasso,-0.021024987449342395,-0.006943881520118822,0.017151237925123297,0.4919786096256685
sector_excess_return,1,5,OLS,-0.14058099851808106,-0.1699887335365884,0.05683862767887371,0.4703163237560047
sector_excess_return,1,5,Ridge,-0.036100359427669676,-0.011670223066217789,0.050755395827384975,0.5199401794616152
sector_excess_return,1,10,ElasticNet,-0.015032078556119726,-0.0033463974764929016,0.009821680324370141,0.5008157346143388
sector_excess_return,1,10,Lasso,-0.022267369340978282,-0.003265683530843111,0.012207229615209925,0.4862231487356113
sector_excess_return,1,10,OLS,-0.31923628785754293,-0.3031669392139855,-0.09528471336571398,0.49691833590138673
sector_excess_return,1,10,Ridge,-0.02371957598435015,-0.008007206841513792,0.0812584396459114,0.52270461343243
sector_excess_return,1,13,ElasticNet,-0.04258914437370176,-0.015657870457626455,0.024401707317696864,0.49474304359648325
sector_excess_return,1,13,Lasso,-0.03976168342436619,-0.018349399202465477,0.0013851299186828925,0.4839572192513369
sector_excess_return,1,13,OLS,-0.46786490812129417,-0.42646322227645794,-0.22041628503139288,0.47996918335901384
sector_excess_return,1,13,Ridge,-0.05334610599339152,-0.027952041170574704,0.09713518999166426,0.518807214719478
sector_excess_return,2,5,ElasticNet,-0.014512539245577745,-0.007792296159223611,0.087337042807483,0.5068870523415978
sector_excess_return,2,5,Lasso,-0.01596306086354604,-0.007906580300269361,0.06681539752128562,0.5076470029448086
sector_excess_return,2,5,OLS,-0.11520432807947317,-0.1270538877486429,0.020684848273443412,0.4747316424432411
sector_excess_return,2,5,Ridge,-0.026959401073685278,-0.019255123451711098,0.0518336774570024,0.5092144010639308
sector_excess_return,2,10,ElasticNet,-0.022560893580397378,-0.03061835548721281,0.038339883785698636,0.5076470029448086
sector_excess_return,2,10,Lasso,-0.02152783652994691,-0.01652738634315254,0.043771390184755066,0.5154839935404198
sector_excess_return,2,10,OLS,-0.31185264703014004,-0.2584846588806462,-0.13554592990674608,0.49938254013489125
sector_excess_return,2,10,Ridge,-0.02407663001746463,-0.020056904319351254,0.10248121296911084,0.514296570722903
sector_excess_return,2,13,ElasticNet,-0.01277317034830478,-0.004652940350764023,0.026836760511890434,0.5084069535480193
sector_excess_return,2,13,Lasso,-0.007338189103205555,-0.0035772233868174297,0.0442325371066028,0.5068395554288971
sector_excess_return,2,13,OLS,-0.39963934042453514,-0.3447971815187665,-0.1710542077923367,0.510354326968747
sector_excess_return,2,13,Ridge,-0.03248398110337745,-0.014147575982204508,0.02691577549902635,0.5162439441436306
