target_type,target,horizon,pc_count,model,pc,coef
raw_sector_return,Industrials,1,5,OLS,PC4,0.00033607281282862996
raw_sector_return,Industrials,1,5,OLS,PC5,0.005550276890199533
raw_sector_return,Industrials,1,5,Ridge,PC1,-0.0009139588545948017
raw_sector_return,Industrials,1,5,Ridge,PC2,5.636055170046497e-05
raw_sector_return,Industrials,1,5,Ridge,PC3,0.00020503427491295228
raw_sector_return,Industrials,1,5,Ridge,PC4,-3.327259204922666e-05
raw_sector_return,Industrials,1,5,Ridge,PC5,0.0005248782085893979
raw_sector_return,Industrials,1,5,Lasso,PC1,-0.0
raw_sector_return,Industrials,1,5,Lasso,PC2,0.0
raw_sector_return,Industrials,1,5,Lasso,PC3,0.0
raw_sector_return,Industrials,1,5,Lasso,PC4,-0.0
raw_sector_return,Industrials,1,5,Lasso,PC5,0.0
raw_sector_return,Industrials,1,5,ElasticNet,PC1,-0.0
raw_sector_return,Industrials,1,5,ElasticNet,PC2,0.0
raw_sector_return,Industrials,1,5,ElasticNet,PC3,0.0
raw_sector_return,Industrials,1,5,ElasticNet,PC4,-0.0
raw_sector_return,Industrials,1,5,ElasticNet,PC5,0.0
raw_sector_return,Technology,1,5,OLS,PC1,-0.005744932687839242
raw_sector_return,Technology,1,5,OLS,PC2,-0.00034316991053685695
raw_sector_return,Technology,1,5,OLS,PC3,0.0052980110121359095
raw_sector_return,Technology,1,5,OLS,PC4,-0.0037287370455990026
raw_sector_return,Technology,1,5,OLS,PC5,0.010080338532990233
raw_sector_return,Technology,1,5,Ridge,PC1,-0.0006504107626802557
raw_sector_return,Technology,1,5,Ridge,PC2,4.110316504655301e-05
raw_sector_return,Technology,1,5,Ridge,PC3,0.0006347343800726927
raw_sector_return,Technology,1,5,Ridge,PC4,-0.00028115705836986073
raw_sector_return,Technology,1,5,Ridge,PC5,0.0008457435045519322
raw_sector_return,Technology,1,5,Lasso,PC1,-0.0
raw_sector_return,Technology,1,5,Lasso,PC2,0.0
raw_sector_return,Technology,1,5,Lasso,PC3,0.0
raw_sector_return,Technology,1,5,Lasso,PC4,-0.0
raw_sector_return,Technology,1,5,Lasso,PC5,0.0
raw_sector_return,Technology,1,5,ElasticNet,PC1,-0.0
raw_sector_return,Technology,1,5,ElasticNet,PC2,0.0
raw_sector_return,Technology,1,5,ElasticNet,PC3,0.0
raw_sector_return,Technology,1,5,ElasticNet,PC4,-0.0
raw_sector_return,Technology,1,5,ElasticNet,PC5,0.0
raw_sector_return,Consumer Staples,1,5,OLS,PC1,-0.0029723255217380205
raw_sector_return,Consumer Staples,1,5,OLS,PC2,0.002327953234003091
raw_sector_return,Consumer Staples,1,5,OLS,PC3,0.002310342638280682
raw_sector_return,Consumer Staples,1,5,OLS,PC4,-0.0009184150042677065
raw_sector_return,Consumer Staples,1,5,OLS,PC5,0.0029939618412383345
raw_sector_return,Consumer Staples,1,5,Ridge,PC1,-0.0004008067263680064
raw_sector_return,Consumer Staples,1,5,Ridge,PC2,0.00024721858576927245
raw_sector_return,Consumer Staples,1,5,Ridge,PC3,0.0002196983032104184
raw_sector_return,Consumer Staples,1,5,Ridge,PC4,-9.286805814846484e-05
raw_sector_return,Consumer Staples,1,5,Ridge,PC5,0.00025373165872380547
raw_sector_return,Consumer Staples,1,5,Lasso,PC1,-0.0
raw_sector_return,Consumer Staples,1,5,Lasso,PC2,0.0
raw_sector_return,Consumer Staples,1,5,Lasso,PC3,0.0
raw_sector_return,Consumer Staples,1,5,Lasso,PC4,-0.0
raw_sector_return,Consumer Staples,1,5,Lasso,PC5,0.0
raw_sector_return,Consumer Staples,1,5,ElasticNet,PC1,-0.0
raw_sector_return,Consumer Staples,1,5,ElasticNet,PC2,0.0
raw_sector_return,Consumer Staples,1,5,ElasticNet,PC3,0.0
raw_sector_return,Consumer Staples,1,5,ElasticNet,PC4,-0.0
