,Materials,Communication Services,Energy,Financials,Industrials,Technology,Consumer Staples,Real Estate,Utilities,Health Care,Consumer Discretionary
2016-06-01,-0.012782221354956547,,0.020487603333367854,-0.03747350302994479,0.0016094908924466633,-0.018555857809711918,0.04728405218204701,0.05231844201718361,0.06754824627056366,0.0050450474357286446,-0.014891229600434208
2016-07-01,0.05596613107561965,,-0.006100917385031712,0.04008979517796685,0.041956811233986535,0.07623134473631787,-0.0021920042820549046,0.040914048067711484,0.0014549396941587744,0.052890246050588674,0.049316602797194076
2016-08-01,-0.0026698682593045975,,0.01677065463652916,0.03847806332648762,0.009476299517070075,0.011625217805396382,-0.005850395779917639,-0.03743004437188291,-0.055449289758934484,-0.03244695517453566,-0.012986957870977367
2016-09-01,-0.016680101278016224,,0.03065246077888073,-0.03264259598204411,-0.003584329481835069,0.016812012152237266,-0.021515062083320435,-0.018274651159713717,-0.004874777109350914,-0.008933320859776939,-0.006454697510251517
2016-10-01,-0.01589615655236487,,-0.02230904519457233,0.027687726435213555,-0.014685409429549323,-0.003429074698178658,-0.0015598459467052184,-0.05054904978133079,0.01758532808760105,-0.06225520205746082,-0.020517249987412667
2016-11-01,0.06823568634603872,,0.08466886742591373,0.14032425603399257,0.09089314764015621,0.001686969471968336,-0.0420453771778555,-0.03037147542660179,-0.054217741762991434,0.02063523872015227,0.04801499139604726
2016-12-01,-0.004805993611237347,,0.011957811358899617,0.03287442639160365,-0.003044497532940671,0.01810513458606766,0.02234086115953615,0.024658402369546195,0.03893005103095604,0.002764143269121222,-0.00549768128749295
2017-01-01,0.05237725393216297,,-0.02701249227045177,0.007133230324653628,0.02488182791607274,0.04013681451863493,0.024603210579324353,0.017030207443523793,0.022361257660272305,0.027405769029149374,0.04830769523459755
2017-02-01,0.005580997193127546,,-0.020850849893743972,0.05276689687888991,0.039129012056223766,0.04532742535366974,0.04772743390106471,0.04656487735658099,0.052663579337801636,0.06338630912605803,0.01815420316934402
2017-03-01,0.0030620935049805453,,-0.020733923481872196,-0.033007309903181015,-0.012147319978831783,0.01833833541417107,-0.00943718345378275,-0.016801166400190026,-0.008885347006568955,-0.008401215071937251,0.01829316906289602
2017-04-01,0.015779957977052783,,-0.023648918973538158,-0.00489408514879297,0.02431072792504052,0.024000194601278668,0.01631110001817082,0.007970451906217146,0.015258575488660275,0.01901187728057696,0.027054072946859353
2017-05-01,0.0001882418376055739,,-0.03537715820877718,-0.01189974341187261,0.017786597303520724,0.03953667996410459,0.026458807611120294,0.0066350774318104655,0.04139267884538489,0.0076822636443336645,0.010992461584276025
2017-06-01,0.013752763447197225,,-0.00794652937368212,0.06107541885606382,0.008738441375867767,-0.03201851079861906,-0.030013924348380017,0.010672026847809102,-0.03491840893540066,0.0415356149445445,-0.015595741893279835
2017-07-01,0.020182070951286768,,0.03325054179440645,0.020914040131921885,0.007683302776041234,0.04879954667613817,0.01468080733952748,0.020593053573649822,0.03255928715411427,0.012206243109112558,0.022410469666909183
