,SPY
2016-06-01,-0.0017154790335903725
2016-07-01,0.04186118251575377
2016-08-01,0.0011974333073427879
2016-09-01,-0.004967789915419352
2016-10-01,-0.012373516595495015
2016-11-01,0.03683830144888689
2016-12-01,0.014293611620682434
2017-01-01,0.023894089438028177
2017-02-01,0.03929186223194292
2017-03-01,-0.00308720357965242
2017-04-01,0.014319918571159773
2017-05-01,0.014112579715860774
2017-06-01,0.0014911761509770471
2017-07-01,0.02553086261267512
2017-08-01,0.0029178263378852876
2017-09-01,0.015111672126067122
2017-10-01,0.028644098394821293
2017-11-01,0.03056573145377328
2017-12-01,0.006980602438759531
2018-01-01,0.06175862145069089
2018-02-01,-0.03636053239502246
2018-03-01,-0.031289910437245494
2018-04-01,0.009193786956910088
2018-05-01,0.024309149107647254
2018-06-01,0.0012549149667808734
2018-07-01,0.04170279363347262
2018-08-01,0.03192048773376088
2018-09-01,0.0014122129358942193
2018-10-01,-0.06489040658013445
2018-11-01,0.01854914853153966
2018-12-01,-0.09334289040198107
2019-01-01,0.0863731246789532
2019-02-01,0.03241546329738387
2019-03-01,0.013635759807261394
2019-04-01,0.04543682210017419
2019-05-01,-0.06377102132446844
2019-06-01,0.06440943084318063
2019-07-01,0.02005691798390008
2019-08-01,-0.01674338987081414
2019-09-01,0.014771709421316448
2019-10-01,0.026824328085399918
2019-11-01,0.0361986334711073
2019-12-01,0.024020521541490147
2020-01-01,0.004510726464367343
2020-02-01,-0.07916568969881987
2020-03-01,-0.12998717154922168
2020-04-01,0.13361041287719622
2020-05-01,0.04764535585069796
2020-06-01,0.013275535321790821
2020-07-01,0.06355212692747281
2020-08-01,0.06979648272770045
2020-09-01,-0.04128125415755357
2020-10-01,-0.02103041606719558
2020-11-01,0.1087766711443714
2020-12-01,0.03264672632094179
2021-01-01,-0.005971430891007268
2021-02-01,0.02780565662313661
2021-03-01,0.04198650983355612
2021-04-01,0.056359048944977896
2021-05-01,0.006566095837531538
2021-06-01,0.019093330321327873
2021-07-01,0.027763845073279114
2021-08-01,0.029759894168293943
2021-09-01,-0.049649930274549114
2021-10-01,0.07359190400869897
2021-11-01,-0.008034910951145724
2021-12-01,0.04258516537804802
2022-01-01,-0.04941336525062723
2022-02-01,-0.02951713406838674
2022-03-01,0.03437692313049667
2022-04-01,-0.08493505591169026
2022-05-01,0.0022573619643666554
2022-06-01,-0.08640692812447304
2022-07-01,0.09680481747547942
2022-08-01,-0.04080183875851218
2022-09-01,-0.09615872944933457
2022-10-01,0.08571729104296466
2022-11-01,0.05559165860558424
2022-12-01,-0.06193609816583867
2023-01-01,0.06776825750593174
2023-02-01,-0.025142657011209768
2023-03-01,0.03313480131025037
2023-04-01,0.0198522567777204
2023-05-01,0.0046163864869936955
2023-06-01,0.06085906654971662
2023-07-01,0.03656949931885234
2023-08-01,-0.01625207518895999
2023-09-01,-0.05078273400373867
2023-10-01,-0.018257866195408146
2023-11-01,0.09134381202143604
2023-12-01,0.04143315683175741
2024-01-01,0.020045355865891512
2024-02-01,0.052186891670110036
2024-03-01,0.0295032935216597
2024-04-01,-0.03733795770218007
2024-05-01,0.05057953393669323
2024-06-01,0.03195120699198584
2024-07-01,0.015374185952896857
2024-08-01,0.023365434996028167
2024-09-01,0.017882591018814953
2024-10-01,-0.005883620553885138
2024-11-01,0.05963358734922419
2024-12-01,-0.027333849020939383
2025-01-01,0.030312349336667932
2025-02-01,-0.012694731238455215
2025-03-01,-0.05855127312380792
2025-04-01,-0.005688179883167943
2025-05-01,0.06284487470790778
2025-06-01,0.0482872271127599
2025-07-01,0.02605592955723468
2025-08-01,0.020519537835420598
2025-09-01,0.03275713817185344
2025-10-01,0.02667595931623068
2025-11-01,0.0019499438514807288
2025-12-01,-0.0021511202145568786
2026-01-01,0.017736279088188978
2026-02-01,-0.008641951723092456
2026-03-01,-0.05196861816263498
2026-04-01,0.10807055160424506
2026-05-01,0.03754215138190298
