date,return,turnover,holdings,strategy,cost_bps,net_return
2022-06-01,-0.08887034327612764,0.6666666666666666,"Health Care, Energy, Utilities",Google/PCA top-3,0,-0.08887034327612764
2022-07-01,0.12046458953392632,0.6666666666666666,"Technology, Health Care, Consumer Discretionary",Google/PCA top-3,0,0.12046458953392632
2022-08-01,-0.031102425960202112,0.3333333333333333,"Energy, Technology, Health Care",Google/PCA top-3,0,-0.031102425960202112
2022-09-01,-0.08547909173967276,0.0,"Health Care, Technology, Energy",Google/PCA top-3,0,-0.08547909173967276
2022-10-01,0.14764818805919044,0.0,"Health Care, Energy, Technology",Google/PCA top-3,0,0.14764818805919044
2022-11-01,0.07761233222747317,0.6666666666666666,"Health Care, Materials, Financials",Google/PCA top-3,0,0.07761233222747317
2022-12-01,-0.05521456797761674,0.3333333333333333,"Financials, Health Care, Technology",Google/PCA top-3,0,-0.05521456797761674
2023-01-01,0.08940255446616534,0.3333333333333333,"Financials, Materials, Technology",Google/PCA top-3,0,0.08940255446616534
2023-02-01,-0.017390246938128923,0.0,"Technology, Financials, Materials",Google/PCA top-3,0,-0.017390246938128923
2023-03-01,0.04523369599262569,0.6666666666666666,"Technology, Consumer Discretionary, Industrials",Google/PCA top-3,0,0.04523369599262569
2023-04-01,0.00941907504384576,0.3333333333333333,"Technology, Health Care, Consumer Discretionary",Google/PCA top-3,0,0.00941907504384576
2023-05-01,0.023949288138593983,0.0,"Technology, Consumer Discretionary, Health Care",Google/PCA top-3,0,0.023949288138593983
2023-06-01,0.09548846978187231,0.3333333333333333,"Technology, Consumer Discretionary, Industrials",Google/PCA top-3,0,0.09548846978187231
2023-07-01,0.02872526562356296,0.0,"Technology, Consumer Discretionary, Industrials",Google/PCA top-3,0,0.02872526562356296
2023-08-01,-0.005353877203460182,0.3333333333333333,"Technology, Consumer Discretionary, Energy",Google/PCA top-3,0,-0.005353877203460182
2023-09-01,-0.023673920388110965,0.6666666666666666,"Materials, Financials, Energy",Google/PCA top-3,0,-0.023673920388110965
2023-10-01,-0.02499351712769345,0.3333333333333333,"Technology, Materials, Energy",Google/PCA top-3,0,-0.02499351712769345
2023-11-01,0.11600493521169881,0.6666666666666666,"Technology, Financials, Consumer Discretionary",Google/PCA top-3,0,0.11600493521169881
2023-12-01,0.04679378181569375,0.3333333333333333,"Technology, Consumer Discretionary, Communication Services",Google/PCA top-3,0,0.04679378181569375
