,Materials,Communication Services,Energy,Financials,Industrials,Technology,Consumer Staples,Real Estate,Utilities,Health Care,Consumer Discretionary
2016-06-01,-0.01278241879652331,,0.020487603333367854,-0.03747390676573803,0.001609653303629388,-0.018556428159963945,0.047284237022643394,0.05231791140479802,0.06754802568027185,0.0050450474357286446,-0.014891127382417713
2016-07-01,0.05596633799263229,,-0.006100833525929716,0.040090231034389356,0.04195663874003919,0.07623145775699514,-0.002192184456586088,0.040913968207218154,0.0014545400759071736,0.052890246050588674,0.04931693935653625
2016-08-01,-0.002669868004844367,,0.016770484473819014,0.038477335292714354,0.009476376652213903,0.011625583354481384,-0.005850395249971108,-0.037430277408108004,-0.05544881844816396,-0.03244689546727564,-0.012986956526689686
2016-09-01,-0.016680099684010297,,0.03065262928689161,-0.032642263295357354,-0.0035844832129608983,0.01681227783499062,-0.02151487789077189,-0.018274258461590476,-0.004874988417663095,-0.008933505437135336,-0.006455116323604071
2016-10-01,-0.01589625219187185,,-0.022309043398376804,0.027687726435213555,-0.014685254590400154,-0.003429692977102161,-0.0015602179891318624,-0.050548964488778436,0.017585331821730943,-0.06225502301281516,-0.020517150930510653
2016-11-01,0.06823558759185255,,0.0846689428047227,0.14032425603399257,0.09089329050347184,0.0016874140759295386,-0.042045474364279745,-0.030371470232408715,-0.0542177530768182,0.020635303749479972,0.048015001744714736
2016-12-01,-0.004805531825161968,,0.011957809543151843,0.032874021899025996,-0.0030445686825020246,0.018104950677276133,0.022340865509683727,0.024658221641347566,0.03893028025662648,0.0027642079664931263,-0.005497579590431179
2017-01-01,0.052376770007993345,,-0.027013163450604893,0.007133428927409868,0.024881533536539102,0.040136894684723146,0.024603405727306793,0.01703037957796938,0.02236157621334467,0.02740576369508041,0.048308010417779323
2017-02-01,0.0055813507626194525,,-0.020850167168221412,0.052767393193837275,0.039128803336447415,0.04532724635937169,0.047727619789579734,0.0465645309713425,0.05266366679043544,0.06338585508840255,0.018153903693904905
2017-03-01,0.0030620926986153485,,-0.020734077717963872,-0.033007485437032136,-0.012147119760248737,0.018338253778235503,-0.009437359200081263,-0.0168014116995987,-0.008885639497080988,-0.008401038918344872,0.018293267707816918
2017-04-01,0.015779341255033108,,-0.02364883855527955,-0.004894180172062668,0.024310592249642493,0.024000430767879166,0.01631110001817082,0.007970866396554754,0.015258175768418925,0.019012177849907275,0.02705397781433394
2017-05-01,0.0001886726619775292,,-0.035377402393262924,-0.01190012725289491,0.017786869051268805,0.039536286460125636,0.02645889572930793,0.0066350774318104655,0.041392691021560735,0.007682261838423132,0.010992925735506143
2017-06-01,0.01375276226259392,,-0.007946189183189012,0.06107544258165265,0.008738836025984353,-0.03201851553436674,-0.03001409346533479,0.010671783684625735,-0.03491813632847307,0.04153478876382177,-0.015596285894435735
2017-07-01,0.020181899302241568,,0.033250363928957416,0.020914413892469064,0.007683038062764602,0.04879947773318172,0.014680720135707093,0.02059321892531396,0.032559189590597226,0.012206585914332102,0.02241047383843897
2017-08-01,0.007869633711272472,,-0.054788255853792656,-0.015544221681726533,0.00219608941983096,0.029216330964326742,-0.011026771676894254,0.010125780361428527,0.03288235903281489,0.017524092044604922,-0.018607910917834203
2017-09-01,0.031414708897592014,,0.08750174826885027,0.04696382400702892,0.03710189383921936,0.004589312709335713,-0.013342953658572299,-0.020656035892883673,-0.03492807231235706,0.005413001511621607,0.004684598011234886
2017-10-01,0.04432696504695932,,0.0047362132466157725,0.03290554944800217,0.012071545187461341,0.06894940767964508,-0.0103143725354099,0.015287907078197271,0.04694478015858339,-0.003932719394782569,0.024816170445737917
2017-11-01,0.009491820906295079,,0.017522942735512803,0.03458636371980872,0.04166089646508819,0.014138298171034958,0.05575453927341267,0.02923133109491216,0.026850399111771228,0.02909633313804183,0.05065774739422624
