,SPY
2016-06-01,-0.0017153932968366759
2016-07-01,0.041861089600650825
2016-08-01,0.0011973509166440799
2016-09-01,-0.004968200884141627
2016-10-01,-0.012373026081182847
2016-11-01,0.03683846564578008
2016-12-01,0.014293285492219976
2017-01-01,0.02389401180774775
2017-02-01,0.03929186833590492
2017-03-01,-0.00308720404111551
2017-04-01,0.014319995687755327
2017-05-01,0.014112728581087586
2017-06-01,0.001491176042296427
2017-07-01,0.025531006302663695
2017-08-01,0.0029177547544705362
2017-09-01,0.015111245452789968
2017-10-01,0.02864403667857518
2017-11-01,0.03056594509431143
2017-12-01,0.006980866363849092
2018-01-01,0.06175841749764488
2018-02-01,-0.03636022714141518
2018-03-01,-0.03129041299689639
2018-04-01,0.009194316418036363
2018-05-01,0.024308685802901797
2018-06-01,0.0012554250498690855
2018-07-01,0.04170290766243023
2018-08-01,0.0319198019550917
2018-09-01,0.0014122132703755508
2018-10-01,-0.06489030367011239
2018-11-01,0.018549403805070197
2018-12-01,-0.09334300297321563
2019-01-01,0.0863727823202689
2019-02-01,0.032415725624153735
2019-03-01,0.013635943786415305
2019-04-01,0.04543669617178647
2019-05-01,-0.06377079088434168
2019-06-01,0.06440904578500883
2019-07-01,0.020056920302904402
2019-08-01,-0.016743505116404767
2019-09-01,0.014771828104941598
2019-10-01,0.026824671932170974
2019-11-01,0.03619840419729603
2019-12-01,0.024020948610945947
2020-01-01,0.004510516057420588
2020-02-01,-0.07916567326486135
2020-03-01,-0.1299873676816219
2020-04-01,0.13361067199552146
2020-05-01,0.04764557353790444
2020-06-01,0.013275420437586671
2020-07-01,0.06355146042922022
2020-08-01,0.06979690883886791
2020-09-01,-0.04128143949985408
2020-10-01,-0.021030418142869878
2020-11-01,0.10877668211112046
2020-12-01,0.03264691114561935
2021-01-01,-0.005971342311787753
2021-02-01,0.027805651696954703
2021-03-01,0.04198633022443499
2021-04-01,0.05635888351878715
2021-05-01,0.00656601856560024
2021-06-01,0.019093490355940324
2021-07-01,0.027764076188469655
2021-08-01,0.02975988974776289
2021-09-01,-0.049650139483337186
2021-10-01,0.07359206137685681
2021-11-01,-0.00803491038316273
2021-12-01,0.0425848772954196
2022-01-01,-0.049413238680520055
2022-02-01,-0.029517208095069525
2022-03-01,0.03437722458951975
2022-04-01,-0.08493504374409111
2022-05-01,0.00225712677897949
2022-06-01,-0.08640701297398934
2022-07-01,0.09680526146568647
2022-08-01,-0.04080214098808066
2022-09-01,-0.09615881852104835
2022-10-01,0.08571730645544973
2022-11-01,0.055591502201789655
2022-12-01,-0.06193588226697544
2023-01-01,0.06776843042023972
2023-02-01,-0.025142733358399783
2023-03-01,0.033134720974111076
2023-04-01,0.01985241384061731
2023-05-01,0.004616386135013029
2023-06-01,0.060858986035215556
2023-07-01,0.03656942777723482
2023-08-01,-0.01625207631064063
2023-09-01,-0.05078266740865656
2023-10-01,-0.01825779228410318
2023-11-01,0.09134380514453877
2023-12-01,0.04143294701986755
2024-01-01,0.020045557241584966
2024-02-01,0.052186758404574984
2024-03-01,0.029503233625059355
2024-04-01,-0.03733784228133907
2024-05-01,0.05057965848461543
2024-06-01,0.03195108465249685
2024-07-01,0.015374300833944421
2024-08-01,0.02336554549400094
2024-09-01,0.017882365948037604
2024-10-01,-0.005883620553885138
2024-11-01,0.05963358734922419
2024-12-01,-0.027333849020939383
2025-01-01,0.030312349336667932
2025-02-01,-0.012694731238455215
2025-03-01,-0.05855127312380792
2025-04-01,-0.005688179883167943
2025-05-01,0.06284487470790778
2025-06-01,0.0482872271127599
2025-07-01,0.02605592955723468
2025-08-01,0.020519537835420598
2025-09-01,0.03275713817185344
2025-10-01,0.02667595931623068
2025-11-01,0.0019499438514807288
2025-12-01,-0.0021511202145568786
2026-01-01,0.017736279088188978
2026-02-01,-0.008641951723092456
2026-03-01,-0.05196861816263498
2026-04-01,0.10807055160424506
2026-05-01,0.03754215138190298
